job_role,country,is_remote,schedule_type,posted_date,salary_year_avg,no_degree_required,health_insurance,sql,python,excel,tableau,r,power bi,job_skills_clean
Data Analyst,United States,True,Full-time,2023-10-12,89000.0,False,True,0,1,0,1,1,0,"['python', 'r', 'alteryx', 'tableau']"
Data Analyst,United States,False,Full-time,2023-02-27,90250.0,False,True,0,0,1,0,0,0,"['excel', 'powerpoint']"
Data Analyst,United States,False,Full-time,2023-01-10,133285.0,False,False,1,0,1,0,0,0,"['sql', 'word', 'excel', 'visio', 'powerpoint', 'sharepoint']"
Business Analyst,Honduras,False,Full-time,2023-07-24,63000.0,True,False,0,0,0,0,0,1,['power bi']
Business Analyst,United States,False,Full-time,2023-08-11,125000.0,False,False,1,1,0,1,0,0,"['sql', 'python', 'tableau']"
Senior Data Analyst,United States,False,Full-time,2023-02-03,85000.0,False,False,0,0,0,0,0,0,"['sas', 'sas']"
Data Analyst,United States,False,Full-time,2023-11-21,62623.0,False,False,1,0,1,1,0,0,"['sql', 'excel', 'tableau']"
Senior Data Analyst,United States,False,Full-time,2023-01-02,90000.0,False,True,0,0,1,0,0,0,"['excel', 'sheets']"
Data Analyst,United States,False,Full-time,2023-10-31,71300.0,False,True,1,0,1,0,0,1,"['sql', 'excel', 'power bi']"
Data Analyst,Poland,False,Full-time,2023-12-16,43200.0,False,False,0,0,1,0,0,0,"['gdpr', 'sap', 'powerpoint', 'excel']"
Data Analyst,Portugal,False,Full-time,2023-04-25,111175.0,False,False,0,0,0,0,0,0,"['databricks', 'spark']"
Data Analyst,United States,False,Full-time,2023-02-16,89111.75,False,True,0,0,1,0,0,0,['excel']
Data Analyst,United States,False,Full-time,2023-03-23,111175.0,False,True,1,0,1,1,0,1,"['sql', 'tableau', 'power bi', 'excel']"
Data Analyst,United States,False,Full-time,2023-07-18,120000.0,True,True,1,0,0,0,0,0,"['shell', 'sql', 'azure', 'databricks', 'linux']"
Data Analyst,United States,False,Full-time,2023-07-18,101500.0,False,False,0,1,0,0,0,0,"['php', 'python', 'express']"
Business Analyst,Sweden,False,Full-time,2023-12-29,43200.0,False,False,0,0,0,0,0,0,['qlik']
Data Analyst,United Kingdom,False,Full-time,2023-08-25,70000.0,False,True,0,0,1,0,0,0,"['c', 'outlook', 'word', 'excel', 'powerpoint']"
Data Analyst,United States,False,Internship,2023-12-27,35000.0,False,False,0,0,0,0,0,0,['go']
Data Analyst,United Kingdom,False,Full-time,2023-02-10,51014.0,False,False,0,0,1,0,0,0,"['excel', 'word', 'outlook']"
Business Analyst,South Africa,False,Full-time,2023-12-10,130000.0,False,False,1,0,0,0,0,0,['sql']
Data Analyst,Israel,False,Full-time,2023-07-05,111175.0,False,False,0,1,0,0,0,0,['python']
Business Analyst,United States,False,Full-time,2023-07-05,85000.0,False,True,1,0,0,1,0,0,"['sql', 'tableau']"
Data Analyst,United States,False,Full-time,2023-04-04,95400.0,False,False,0,0,1,0,0,0,['excel']
Data Analyst,United States,False,Full-time,2023-02-08,70000.0,True,False,1,0,0,0,0,0,['sql']
Data Analyst,United States,False,Full-time,2023-03-21,120000.0,False,True,1,0,1,1,0,0,"['sql', 'visio', 'outlook', 'word', 'excel', 'powerpoint', 'sharepoint', 'tableau', 'flow']"
Business Analyst,United States,False,Full-time,2023-09-27,87500.0,True,False,1,0,1,1,0,1,"['sql', 'tableau', 'power bi', 'excel', 'ssrs', 'powerpoint']"
Senior Data Analyst,United States,False,Full-time,2023-09-30,87500.0,False,False,0,0,0,1,0,0,"['tableau', 'alteryx', 'outlook']"
Data Analyst,Singapore,False,Part-time,2023-08-08,100500.0,True,False,1,1,0,0,0,0,"['python', 'sql', 'numpy', 'pandas', 'zoom', 'slack']"
Data Analyst,United States,False,Full-time,2023-07-17,155000.0,False,False,1,1,1,0,0,0,"['sql', 'python', 'excel']"
Data Analyst,United States,False,Contractor,2023-02-28,117500.0,True,False,1,0,0,0,0,0,"['sql', 'sql server', 'ssrs', 'ssis']"
Data Analyst,United States,False,Full-time,2023-07-07,65000.0,False,True,1,0,1,1,0,0,"['nosql', 'sql', 'vba', 'oracle', 'hadoop', 'excel', 'tableau']"
Data Analyst,United States,False,Full-time,2023-08-22,110000.0,True,True,1,1,1,0,0,0,"['sql', 'python', 'c#', 'powershell', 'sql server', 'word', 'excel', 'outlook']"
Senior Data Analyst,United States,False,Full-time,2023-04-18,150000.0,True,True,1,1,0,0,0,0,"['sql', 'python']"
Data Analyst,United States,False,Full-time,2023-05-02,124500.0,False,False,1,0,0,0,0,0,"['sql', 'snowflake']"
Data Analyst,United Kingdom,True,Full-time,2023-10-09,77500.0,False,False,1,1,0,0,0,0,"['python', 'sql', 'sqlite', 'snowflake', 'azure']"
Data Analyst,United States,False,Contractor,2023-02-28,80000.0,False,False,1,0,0,0,0,1,"['sql', 'sql server', 'ssrs', 'ssis', 'power bi']"
Data Analyst,United States,False,Full-time,2023-08-25,109159.0,False,True,0,1,0,0,1,0,"['sas', 'sas', 'python', 'r']"
Data Analyst,United States,False,Full-time,2023-04-27,34288.57421875,True,True,0,0,0,0,0,0,['flow']
Data Analyst,United States,False,Full-time,2023-12-30,149508.5,False,True,1,0,0,0,0,0,"['sql', 'express']"
Business Analyst,United States,False,Full-time,2023-08-16,90000.0,False,False,1,0,1,1,0,1,"['sql', 'tableau', 'power bi', 'looker', 'outlook', 'visio', 'excel', 'powerpoint', 'word', 'ssrs', 'ssis']"
Data Analyst,United States,False,Full-time,2023-08-15,111000.0,False,True,1,0,1,1,0,1,"['sql', 'tableau', 'power bi', 'excel', 'word']"
Data Analyst,United States,False,Full-time,2023-06-20,99000.0,False,True,1,1,0,1,1,1,"['python', 'r', 'sql', 'aws', 'azure', 'pandas', 'numpy', 'scikit-learn', 'hadoop', 'spark', 'tableau', 'power bi']"
Data Analyst,United States,False,Full-time,2023-02-27,72250.0,False,True,0,1,0,0,1,0,"['python', 'r']"
Data Analyst,United States,False,Full-time,2023-08-23,186500.0,False,True,1,1,0,1,0,0,"['sql', 'php', 'python', 'perl', 'tableau']"
Data Analyst,United States,False,Full-time,2023-06-14,85000.0,False,False,1,0,0,0,0,0,"['sql', 'azure', 'jira']"
Data Analyst,Mexico,True,Full-time,2023-05-03,70500.0,False,False,1,0,0,0,0,0,['sql']
Business Analyst,Canada,False,Full-time,2023-10-31,64600.0,False,False,1,0,0,0,0,1,"['sql', 'power bi']"
Data Analyst,United States,False,Full-time,2023-10-31,65000.0,False,False,1,1,0,1,1,1,"['sql', 'python', 'r', 'azure', 'power bi', 'tableau']"
Data Analyst,United States,False,Full-time,2023-02-13,67500.0,False,False,0,1,1,1,0,0,"['python', 'excel', 'tableau']"
Business Analyst,Netherlands,False,Full-time,2023-01-25,63000.0,False,False,1,0,0,1,0,0,"['sql', 'tableau']"
Data Analyst,Poland,False,Full-time,2023-04-25,56700.0,True,False,0,1,0,0,1,0,"['r', 'python', 'spark', 'tidyverse', 'pandas', 'numpy']"
Business Analyst,United States,False,Full-time,2023-10-12,105000.0,False,False,0,0,0,0,0,0,['outlook']
Senior Data Analyst,United States,False,Full-time,2023-07-10,84039.0,False,True,1,1,0,1,1,1,"['sas', 'sas', 'r', 'sql', 'python', 'spss', 'tableau', 'power bi']"
Data Analyst,United States,False,Full-time,2023-08-31,134984.0,False,True,1,1,0,0,1,0,"['sql', 'python', 'r', 'express']"
Data Analyst,United States,True,Full-time,2023-08-03,76007.0,False,True,1,1,0,1,1,1,"['sql', 'python', 'r', 'sas', 'sas', 'matplotlib', 'tableau', 'power bi']"
Data Analyst,United States,False,Full-time,2023-07-13,125000.0,True,True,1,0,0,0,0,0,"['sql', 'bigquery', 'looker']"
Data Analyst,United States,False,Full-time,2023-09-21,90000.0,True,False,1,0,0,1,0,1,"['sql', 'tableau', 'power bi', 'sap']"
Data Analyst,United States,False,Full-time,2023-06-01,115000.0,False,True,1,0,0,0,0,0,"['sql', 'hadoop', 'spark', 'flow']"
Data Analyst,United States,False,Full-time,2023-06-23,150000.0,False,False,1,1,1,0,0,0,"['sql', 'python', 'excel']"
Data Analyst,Mauritius,False,Full-time,2023-03-16,53014.0,False,False,0,0,1,0,0,0,"['word', 'excel', 'outlook', 'powerpoint']"
Data Analyst,United States,False,Full-time,2023-02-13,135000.0,False,True,0,1,1,0,1,1,"['python', 'r', 'powerpoint', 'power bi', 'excel']"
Data Analyst,Malaysia,False,Full-time,2023-02-07,51014.0,False,False,1,1,0,1,1,0,"['python', 'r', 'sql', 'tableau']"
Senior Data Analyst,United States,False,Full-time,2023-06-17,200066.5,False,True,1,1,0,1,0,0,"['sql', 'php', 'python', 'perl', 'express', 'tableau']"
Data Analyst,Colombia,False,Full-time,2023-07-07,57500.0,True,False,0,0,0,1,0,0,"['express', 'tableau', 'spreadsheet', 'sheets']"
Data Analyst,United States,False,Full-time,2023-05-11,115000.0,False,False,0,0,1,0,0,0,"['word', 'excel']"
Data Analyst,United States,True,Full-time,2023-05-25,72500.0,False,True,1,0,1,1,0,1,"['sql', 'tableau', 'power bi', 'looker', 'excel']"
