job_role,country,is_remote,schedule_type,posted_date,salary_year_avg,no_degree_required,health_insurance,python,sql,aws,spark,r,azure,tableau,java,snowflake,hadoop,power bi,job_skills_clean
Data Scientist,Costa Rica,False,Full-time,2023-08-01,109500.0,False,False,0,0,0,0,0,0,0,0,0,0,0,"['gdpr', 'excel']"
Data Engineer,Sudan,False,Full-time,2023-06-26,140000.0,False,False,1,1,0,1,1,0,1,0,0,0,0,"['mongodb', 'mongodb', 'python', 'r', 'sql', 'mysql', 'mariadb', 'oracle', 'spark', 'tableau', 'kubernetes']"
Data Engineer,United States,True,Full-time,2023-02-21,120000.0,False,True,1,1,0,0,0,0,0,0,0,0,0,"['sql', 'python']"
Data Scientist,United States,False,Full-time,2023-07-31,228222.0,False,True,1,1,0,0,1,0,0,0,0,0,0,"['sql', 'r', 'python', 'express']"
Data Scientist,United States,True,Full-time,2023-10-04,114000.0,False,False,1,1,0,1,1,0,1,0,0,1,0,"['r', 'python', 'sql', 't-sql', 'hadoop', 'spark', 'tableau']"
Data Engineer,United States,False,Full-time,2023-10-21,129500.0,False,True,1,0,0,1,0,0,0,1,0,1,0,"['golang', 'scala', 'python', 'java', 'hadoop', 'spark']"
Data Scientist,Belgium,False,Full-time,2023-06-05,157500.0,False,False,1,1,1,0,1,1,1,0,0,1,0,"['c', 'r', 'sql', 'python', 'aws', 'azure', 'hadoop', 'tableau']"
Data Scientist,United States,False,Full-time,2023-11-20,103128.0,False,False,0,0,0,0,1,0,0,0,0,0,0,"['r', 'electron']"
Data Engineer,United States,False,Full-time,2023-10-03,185000.0,False,False,0,1,0,0,0,0,0,0,0,0,0,"['nosql', 'sql']"
Data Engineer,United States,False,Full-time,2023-08-16,97500.0,True,False,1,1,0,0,0,0,0,0,0,0,0,"['sql', 'python']"
Data Engineer,United States,False,Full-time,2023-08-20,89000.0,False,False,1,1,0,0,0,0,0,0,0,0,1,"['sql', 'python', 'power bi']"
Data Scientist,United States,False,Full-time,2023-12-02,157500.0,False,True,1,0,1,0,0,0,0,1,0,0,0,"['go', 'python', 'java', 'mongo', 'redis', 'aws', 'pandas', 'numpy', 'kafka', 'express', 'github', 'bitbucket']"
Senior Data Engineer,United States,False,Full-time,2023-06-20,168500.0,False,True,0,0,0,1,0,1,0,0,0,1,0,"['scala', 'gcp', 'azure', 'spark', 'kafka', 'hadoop', 'terraform', 'git', 'jenkins', 'gitlab']"
Data Engineer,Sudan,False,Full-time,2023-01-04,80000.0,False,False,0,1,0,0,0,0,0,0,0,0,0,"['sql', 'sap']"
Data Engineer,United States,True,Full-time,2023-07-20,110000.0,True,False,1,1,1,0,0,1,0,1,1,0,0,"['sql', 'java', 'python', 'azure', 'aws', 'snowflake']"
Senior Data Engineer,Sudan,False,Full-time,2023-09-16,160000.0,False,False,1,1,1,1,0,0,0,1,0,1,0,"['python', 'sql', 'java', 'aws', 'databricks', 'redshift', 'spark', 'pyspark', 'hadoop']"
Senior Data Engineer,United States,False,Full-time,2023-10-09,165000.0,False,True,1,1,1,1,0,0,0,0,0,0,0,"['python', 'scala', 'sql', 'aws', 'redshift', 'spark', 'pandas']"
Data Engineer,United States,False,Full-time and Contractor,2023-10-11,100000.0,True,False,1,1,0,0,0,1,0,0,0,0,0,"['sql', 'python', 'azure', 'databricks']"
Data Engineer,United States,False,Full-time,2023-05-15,111228.15625,True,False,1,1,0,0,0,1,0,0,0,0,0,"['sql', 'python', 'azure']"
Senior Data Engineer,United States,False,Full-time,2023-05-02,173500.0,False,True,1,1,1,1,0,1,0,1,1,1,0,"['java', 'scala', 'python', 'nosql', 'sql', 'shell', 'mysql', 'dynamodb', 'redshift', 'snowflake', 'aws', 'azure', 'hadoop', 'kafka', 'spark']"
Senior Data Engineer,Sudan,False,Full-time,2023-07-06,160000.0,False,False,1,1,1,0,0,0,0,0,1,0,0,"['python', 'sql', 'postgresql', 'sql server', 'aws', 'snowflake']"
